score,Borough,Largest Property Use Type,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²)
83,Queens,Multifamily Housing,58350,1963,1,100,80.7,4,0.7,,5.331752143,
93,Queens,Multifamily Housing,61956,1936,1,100,72.1,3.1,0.7,,5.304299438,
8,Brooklyn,Multifamily Housing,295200,1950,1,100,99.5,5.4,0.9,,7.14708709,
76,Queens,Multifamily Housing,68796,1955,1,100,93.4,4.1,0.9,,5.668155297,
62,Bronx,Multifamily Housing,67125,2012,1,100,85.7,5.6,0.7,,5.459159892,
100,Manhattan,Multifamily Housing,743083,2016,1,100,11,,0,,1.774952351,
59,Queens,Office,108474,2014,1,70,88.2,,,11.57,5.152134856,2.448415541
42,Manhattan,Multifamily Housing,51080,1915,1,100,89.8,6.7,0.2,59.06,5.445874931,4.078553876
6,Manhattan,Hotel,140360,1931,1,100,180.8,18.3,1.4,,6.204759762,
24,Manhattan,Office,121638,1924,1,100,130,24.4,0.5,,5.690697235,
68,Bronx,Multifamily Housing,55623,1921,1,100,95.6,3.9,0.9,,5.49388415,
69,Brooklyn,Multifamily Housing,241764,2012,1,100,59.8,6.4,0.4,26.12,6.079704336,3.262701304
22,Bronx,Multifamily Housing,88227,2007,1,100,85.6,8,0.6,81.88,5.600272098,4.405254761
35,Manhattan,Multifamily Housing,100000,1942,1,100,73.3,8.3,0.4,53.22,5.460861296,3.974434266
47,Queens,Multifamily Housing,139142,1941,1,100,70.9,2.9,0.7,47.24,6.106577354,3.855240991
100,Brooklyn,Office,53351,2012,1,100,18.5,4.7,0,6.67,2.00148,1.89761986
26,Bronx,Multifamily Housing,55000,1925,1,100,99.1,4.7,0.8,133.86,5.48438191,4.896794478
100,Bronx,Multifamily Housing,64000,1928,1,100,19.2,4,0.1,491.18,2.791165108,6.196810659
92,Queens,Multifamily Housing,104463,1949,3,50,74.2,0.3,0.7,,6.004380772,
76,Brooklyn,Multifamily Housing,100800,1931,1,100,70.3,3.1,0.6,91.09,5.756374925,4.511848029
55,Queens,Multifamily Housing,90950,1950,1,100,84.5,3.9,0.7,,5.866468057,
34,Queens,Multifamily Housing,76500,1930,1,100,100.9,5,0,74.65,6.148040854,4.312810524
49,Queens,Multifamily Housing,55000,1958,1,100,87.7,4.2,0.4,,5.50411128,
51,Queens,Multifamily Housing,57228,1951,1,100,94.2,4.4,0.8,81.1,5.504924949,4.395682961
2,Queens,Multifamily Housing,52000,1930,1,100,165.1,4.3,1.5,,6.05161847,
69,Manhattan,Multifamily Housing,63277,2006,1,100,62,4,0.5,50.36,5.088213429,3.919197209
2,Queens,Multifamily Housing,106415,1959,1,100,163.1,6.5,0.1,156.54,6.39876131,5.053311568
61,Queens,Multifamily Housing,68523,2009,1,100,97.4,7.6,0.8,63.82,5.303802297,4.156066621
71,Queens,Multifamily Housing,56926,2015,1,100,57.3,3.7,0.5,,4.828313737,
47,Queens,Multifamily Housing,84000,2014,1,80,45.6,8.9,0.2,,4.21508618,
99,Queens,Multifamily Housing,50660,1970,1,90,67.5,1,0.7,10329.61,5.136974216,9.242769807
1,Bronx,Multifamily Housing,79000,1922,1,100,162.2,8.4,0.6,132.58,6.527957918,4.887186237
1,Bronx,Multifamily Housing,54684,1931,1,100,127.6,15.5,0.8,134.51,5.564520407,4.901638546
91,Manhattan,Hotel,167280,1902,1,100,116.3,9.8,0.9,,5.488937726,
11,Manhattan,Multifamily Housing,2046455,1974,1,100,112.7,5.7,1,,9.218159721,
1,Brooklyn,Multifamily Housing,277200,1974,1,100,109.8,19.2,0.5,,6.522974762,
80,Manhattan,Multifamily Housing,262875,1978,1,95,74.9,4.8,0.6,66.8,6.70893842,4.201703081
100,Queens,Multifamily Housing,235440,1962,1,100,30.9,1.4,0.3,,5.797272818,
8,Manhattan,Senior Care Community,125992,1976,1,100,163.9,24.9,,,6.258242135,
79,Manhattan,Office,51072,1920,1,100,101.4,12.2,0.6,98.71,5.056245805,4.592186258
59,Manhattan,Multifamily Housing,114003,1929,1,100,76.3,5,0,39.85,6.218799303,3.685122405
100,Queens,Supermarket/Grocery Store,56330,1999,1,90,98.7,28.5,,30.99,,3.433664572
100,Brooklyn,Multifamily Housing,131215,1928,3,100,2.1,0.6,,,,
98,Queens,Office,105500,1931,1,85,22.6,,,2273.71,2.341805806,7.729168138
1,Bronx,Multifamily Housing,201100,1973,1,95,129.9,19.6,0.7,,6.509365085,
17,Bronx,Multifamily Housing,86275,1971,1,95,87.3,15.9,0.4,9.31,5.086978861,2.231089091
99,Bronx,Multifamily Housing,199500,1972,1,95,31.1,5,0.2,32.75,5.683579767,3.488902962
23,Bronx,Multifamily Housing,120000,1971,2,95,96.5,16.2,0.4,,5.529825834,
100,Queens,Multifamily Housing,89253,1971,1,100,50,2,0.4,,5.355170178,
37,Bronx,Multifamily Housing,125685,1971,1,95,89.7,8.2,0.7,,6.014448383,
58,Queens,Office,263927,1966,1,100,115.5,17,0.6,,6.664281461,
1,Bronx,Multifamily Housing,375225,1971,1,95,144.4,23.1,0.7,169.13,6.610426829,5.13066765
100,Manhattan,Multifamily Housing,347000,2014,1,100,18.7,5.5,,3.07,,1.121677562
14,Manhattan,Multifamily Housing,422039,2008,1,100,67.3,11.4,0.3,28.27,6.370927853,3.341801172
8,Brooklyn,Multifamily Housing,153588,1975,1,100,131.7,10,1,13500.7,6.814323334,9.510496815
8,Manhattan,Multifamily Housing,,1975,1,100,135.6,9.8,1.1,,5.776103136,
9,Manhattan,Multifamily Housing,,1975,2,100,131.2,9.7,1,,7.117448783,
73,Queens,Non-Refrigerated Warehouse,457750,2009,1,100,37,4.6,0.3,,6.279646495,
30,Manhattan,Multifamily Housing,82017,1968,1,100,84.4,8.6,0,52,5.546348633,3.951243719
41,Manhattan,Hotel,103133,2013,1,90,74.4,14.1,0.3,66.2,5.056245805,4.192680463
40,Queens,Hotel,59963,2009,1,90,73.4,13.9,0.3,113.86,4.49980967,4.734969624
74,Manhattan,Multifamily Housing,,1940,2,100,85.6,4.7,0.5,43.47,5.701780472,3.772071045
100,Manhattan,Hospital (General Medical & Surgical),115838,1924,1,100,23.1,6.8,,,,
100,Manhattan,Hospital (General Medical & Surgical),98260,1924,1,100,188.5,6,1.8,,7.916515797,
97,Queens,Multifamily Housing,69100,2016,1,100,41.7,3.4,0.3,,4.679349584,
100,Manhattan,Hospital (General Medical & Surgical),961433,1963,1,100,48,13.9,,,,
100,Queens,Multifamily Housing,108000,1920,1,100,7.1,2.2,,,,
91,Manhattan,Multifamily Housing,537750,1959,1,100,56.7,4.9,0.4,30.87,7.045689465,3.429784839
67,Manhattan,Multifamily Housing,460973,1931,1,100,65.5,5.3,,48.93,,3.890390705
100,Manhattan,Multifamily Housing,262297,1963,1,100,21.2,5,0,35.56,3.975936331,3.571221411
88,Manhattan,Multifamily Housing,87640,1931,1,100,61.2,3.5,,,,
19,Manhattan,Multifamily Housing,112407,2009,1,100,75.9,11.7,0.4,,5.280662431,
84,Queens,Multifamily Housing,299456,1960,2,100,62.8,4.3,0.5,,6.642747524,
82,Bronx,Multifamily Housing,107195,1924,1,100,68.2,4.2,0.6,,5.749074464,
100,Bronx,Multifamily Housing,279000,1927,1,100,55.3,1,0.6,13.05,6.642747524,2.568788134
81,Brooklyn,Multifamily Housing,76160,1928,1,100,78,0.4,,89.48,5.735281142,4.494015137
90,Brooklyn,Multifamily Housing,61740,1930,1,100,71,0.4,0.8,259.85,5.431098478,5.560104541
73,Manhattan,Office,112820,1930,1,80,87.6,,0.4,0,5.92157842,
98,Brooklyn,Multifamily Housing,60210,2007,1,95,32.9,,0.2,54.68,3.906004933,4.001498012
81,Manhattan,Multifamily Housing,69148,1914,1,100,56.8,4.8,0.4,,4.99518319,
100,Queens,Multifamily Housing,81900,1953,1,100,6.2,,,44.86,2.397895273,3.803546529
100,Queens,Multifamily Housing,73900,1953,1,100,10.1,,,74.41,3.122364924,4.309590341
100,Manhattan,Residence Hall/Dormitory,78397,1930,1,100,16.4,3.8,0,,2.4765384,
47,Manhattan,Multifamily Housing,146549,1957,1,100,76.2,7.3,0.5,56.69,5.966403117,4.037597828
100,Queens,Multifamily Housing,263883,1966,3,100,53.3,,,,6.846198973,
100,Queens,Multifamily Housing,587170,1963,10,100,5.7,,,,,
100,Queens,Multifamily Housing,820910,1960,14,100,4.1,,,,,
96,Brooklyn,Multifamily Housing,84434,2013,1,100,47,4.5,0.3,24.95,4.973279508,3.216873822
100,Bronx,Multifamily Housing,71669,2014,1,100,6.5,1.3,0,,2.041220329,
98,Bronx,Multifamily Housing,62711,2013,1,100,47.3,3.8,0.4,,4.740574823,
90,Bronx,Multifamily Housing,98564,2012,1,100,57.4,4.2,0.5,,5.429784129,
100,Bronx,Multifamily Housing,171232,2015,1,100,6.5,,,,,
93,Bronx,Multifamily Housing,105623,2014,1,100,47.4,4,0.4,25.64,5.261653382,3.244153632
80,Manhattan,Multifamily Housing,52970,1926,1,100,77.2,4.3,0.7,66.12,5.370172804,4.191471273
100,Manhattan,Office,349683,1925,1,95,2.5,0.7,,5.21,,1.650579856
100,Brooklyn,Multifamily Housing,62190,2013,1,100,13.9,3.5,0,23.66,1.987874348,3.163785859
98,Manhattan,Multifamily Housing,116100,1900,11,100,33.1,7.2,0.1,,3.988984047,
79,Queens,Multifamily Housing,170500,1946,1,100,74.1,3.4,0.1,26.95,6.651442666,3.293983297
94,Manhattan,Multifamily Housing,64377,1928,1,100,58.1,1.1,0.6,4034.66,5.223054882,8.302677314
68,Bronx,Multifamily Housing,59814,1928,1,100,101.7,4.5,0.1,,5.941223331,
26,Bronx,Multifamily Housing,68722,2007,1,100,113,7.6,0.1,,6.074656138,
56,Brooklyn,Senior Care Community,174788,1992,1,100,83.9,8.2,0.6,,6.686734473,
98,Manhattan,Multifamily Housing,147590,2011,1,100,44.8,4.2,0.3,28.65,5.461710913,3.355153443
1,Brooklyn,K-12 School,52145,2008,1,100,128.3,26,0.4,,4.676560182,
68,Brooklyn,Multifamily Housing,54000,1936,1,100,72.4,2.8,0.7,,5.200704538,
61,Manhattan,Multifamily Housing,65352,1920,1,100,98.8,3.3,,54.86,6.070275728,4.004784486
88,Manhattan,Multifamily Housing,282295,1927,1,100,63.1,4,,,6.957211888,
86,Manhattan,Multifamily Housing,56845,1928,1,100,81.4,4.8,,,5.635860458,
64,Manhattan,Multifamily Housing,148418,1926,1,100,62.6,5.4,0.5,31.82,5.853064177,3.460095023
100,Manhattan,Multifamily Housing,61344,1922,1,100,26.2,3.7,,,4.117409835,
87,Manhattan,Multifamily Housing,68225,1963,1,100,77.8,5.2,,57.95,5.705447754,4.05958057
50,Manhattan,Office,101283,1927,1,100,105.8,20,0,14.9,5.645093478,2.701361213
89,Queens,Multifamily Housing,77688,1940,1,100,74,3,0.7,42.44,5.570251082,3.748091314
80,Queens,Multifamily Housing,135960,1952,1,100,81.2,4.1,0.7,69.65,6.184561177,4.2434827
94,Queens,Multifamily Housing,202489,1964,2,100,55,2.8,0.5,42.41,6.184561177,3.747384183
66,Queens,Multifamily Housing,108024,1963,1,100,85.5,4.3,0.7,,6.053264948,
63,Brooklyn,Multifamily Housing,210670,1931,1,100,38.6,11.3,,,,
96,Brooklyn,Office,72700,1968,1,100,30.4,8.9,,,,
34,Staten Island,Multifamily Housing,76206,1973,1,95,99.9,6.7,0.9,,5.757639147,
100,Manhattan,Retail Store,71738,1925,1,100,3.9,,,3.1,3.540959324,1.131402111
98,Brooklyn,Multifamily Housing,114500,1937,1,100,55,3.1,0.5,23.21,5.593967609,3.14458322
100,Manhattan,Retail Store,78230,1911,1,100,10.4,,,,5.310739887,
95,Queens,Multifamily Housing,74687,2007,1,100,36.1,6.1,0.2,,4.396915247,
33,Manhattan,Multifamily Housing,55404,1915,1,70,50,11.5,,35.56,,3.571221411
93,Manhattan,Multifamily Housing,224531,1968,1,100,27.1,7.1,0,52.44,3.342861805,3.959669659
65,Brooklyn,Multifamily Housing,54770,1931,1,90,83.6,3.8,0,,5.699774453,
37,Bronx,Multifamily Housing,70000,1927,1,90,106.1,3.5,1,,5.851915082,
100,Queens,Multifamily Housing,61614,2010,1,100,19.1,5.4,,,,
29,Manhattan,Multifamily Housing,141099,1928,1,100,70.9,13.1,0,23.36,5.360822572,3.151025158
30,Manhattan,Multifamily Housing,168350,2015,1,100,77.9,10.3,0.5,24.96,5.227358278,3.217274544
1,Manhattan,Multifamily Housing,51746,1975,1,100,127.4,22.2,0.5,,4.924350925,
58,Manhattan,Office,865759,1962,1,100,95.2,18.2,0.1,42.38,6.15888395,3.746676553
60,Manhattan,Hotel,91099,2013,1,85,89.7,,,70.78,5.583872178,4.259576475
100,Brooklyn,Office,124888,2009,1,100,36.6,3.2,0.3,,5.070789217,
85,Queens,Multifamily Housing,294821,2013,1,100,69.7,5.9,0.5,,6.398095642,
92,Queens,Multifamily Housing,671698,2013,1,100,59.8,5.1,0.4,,7.063219382,
100,Manhattan,Multifamily Housing,65190,1909,1,100,40.6,0.5,0.4,,5.061328408,
100,Bronx,Multifamily Housing,53500,1927,1,100,66.1,0.6,0.6,,5.357529226,
100,Bronx,Multifamily Housing,63000,1940,1,100,0.4,0.1,,,,
100,Bronx,Multifamily Housing,50052,1926,1,100,19.7,4.5,0,,2.282382386,
64,Manhattan,Multifamily Housing,66403,1967,1,100,84.5,8.2,0,105.2,5.62365643,4.6558633
100,Staten Island,Office,169865,2006,1,100,7.3,2.1,,,,
100,Manhattan,Office,507265,2007,1,100,4.6,1.3,,,,
100,Staten Island,Office,155282,2005,1,100,5.1,1.5,,7.21,,1.975468951
100,Queens,Office,480000,1947,1,100,4.8,1.4,,,,
100,Queens,Multifamily Housing,79897,2014,1,100,48.4,,0.5,33.78,5.171619714,3.519868911
93,Queens,Multifamily Housing,142398,2012,1,100,56.4,6.3,0.4,,5.56375383,
91,Bronx,Multifamily Housing,70500,1928,1,100,90.2,0.9,0.9,,5.785976712,
92,Bronx,Multifamily Housing,80596,1942,1,100,93.6,0.5,1,,5.974572679,
99,Bronx,Multifamily Housing,51400,1927,1,100,72.5,0.6,0.7,,5.261653382,
67,Manhattan,Office,281755,1926,1,100,69,16.2,,,,
89,Manhattan,Worship Facility,76888,1928,1,100,62.4,2.7,0.6,0,5.376203905,
88,Brooklyn,Multifamily Housing,54000,1938,1,100,79.9,2.5,0.8,,5.320567975,
1,Bronx,Multifamily Housing,63608,1910,1,100,146.9,13.9,0.2,,6.107468223,
50,Manhattan,Multifamily Housing,475685,2014,1,95,46.6,8.6,0.2,18.39,6.153370789,2.911807039
31,Queens,Multifamily Housing,563800,1950,15,100,121.6,7.4,1,82.87,7.981083947,4.417273115
100,Brooklyn,Multifamily Housing,111804,2007,1,100,52.5,,0.6,39.65,5.419206684,3.680090948
83,Brooklyn,Multifamily Housing,76236,1925,1,100,40,8.1,0.1,29.34,3.988984047,3.378951773
2,Manhattan,Multifamily Housing,171664,2008,1,100,92.6,13.7,0.5,38.81,6.058889523,3.658677945
2,Manhattan,Multifamily Housing,92479,1986,1,100,141.2,13.5,1,87.15,6.122054117,4.467630772
66,Manhattan,Multifamily Housing,162750,1961,1,100,69.8,6.9,0.5,33.29,5.999432717,3.505257052
48,Manhattan,Multifamily Housing,200679,1985,1,100,86,8.2,0,,6.587825459,
85,Manhattan,Multifamily Housing,123217,1929,1,100,75,4.7,,30.1,6.313185662,3.404525172
4,Manhattan,Multifamily Housing,75614,2007,1,100,94.8,12.2,0.6,,5.339939041,
87,Manhattan,Multifamily Housing,91745,1955,1,100,79.8,5,0.7,44.04,5.730748923,3.785098312
2,Manhattan,Multifamily Housing,84772,1911,1,100,95.8,13.4,0.5,24.44,5.135798437,3.196221134
83,Manhattan,Multifamily Housing,108402,1963,1,100,98.8,5.1,0,53.49,6.479737766,3.979494721
100,Manhattan,Multifamily Housing,91500,1962,1,100,18.3,,,52.92,,3.968781339
9,Manhattan,Multifamily Housing,97798,1909,1,100,93.8,10.8,0.1,,3.210843653,
45,Manhattan,Office,127879,1911,1,100,98.8,21.5,0.3,61.4,5.12455904,4.117409835
12,Brooklyn,K-12 School,74938,1930,1,100,108,16.8,0.6,8.19,5.299816243,2.102913898
94,Bronx,Multifamily Housing,161196,2014,1,100,54.5,,0.4,57.73,5.785362462,4.055776969
87,Bronx,Multifamily Housing,61199,2012,1,100,60.9,,,6.53,5.05305601,1.876406943
73,Manhattan,Office,463664,1969,1,90,88,13.4,,,,
3,Manhattan,Multifamily Housing,228193,1986,1,100,90,13.2,0.5,,6.055143324,
72,Queens,Multifamily Housing,100332,1963,1,100,87.8,4.6,0.8,87.2,5.941486177,4.468204331
4,Brooklyn,Multifamily Housing,,1965,2,100,185.2,,1.8,,10.41010935,
92,Manhattan,K-12 School,121360,1914,1,100,50.7,3.7,0.4,,5.505331536,
81,Brooklyn,Multifamily Housing,139838,1923,1,100,65.6,3.5,0.6,46.25,5.98368436,3.834061464
84,Brooklyn,Multifamily Housing,61108,2015,1,100,62,4.4,0.6,,5.021245473,
33,Brooklyn,Multifamily Housing,86081,1990,1,100,112.2,3.2,1,30.56,6.135131897,3.419691964
95,Queens,Multifamily Housing,139464,1989,1,100,73.5,0.9,0.7,,6.077642243,
16,Brooklyn,Multifamily Housing,57600,1932,1,100,124.1,0.6,1.2,54.2,6.077642243,3.992680908
52,Brooklyn,Multifamily Housing,846120,1965,2,100,89,5.9,0.7,761.89,7.930673723,6.635802188
84,Manhattan,Office,60000,1912,1,100,57.3,11.2,,52.11,4.467056884,3.953356869
44,Brooklyn,Multifamily Housing,105654,1926,1,100,96.9,3.7,0.9,67.05,6.150815965,4.20543861
91,Manhattan,Multifamily Housing,59175,1914,1,100,63.4,3.6,,,5.412984442,
37,Brooklyn,Multifamily Housing,375600,2005,1,100,65.6,10.6,0.3,45.5,6.162683026,3.817712326
100,Queens,Multifamily Housing,71000,1954,1,100,58.2,,0.6,,5.545177444,
51,Manhattan,Multifamily Housing,53874,1920,1,100,84.3,3.7,0.7,77.88,5.502889532,4.355169181
84,Brooklyn,Multifamily Housing,141335,1996,1,100,81.9,2.8,0.6,,6.407869595,
49,Brooklyn,Multifamily Housing,141335,1996,1,100,63.1,8.6,0.3,14.45,5.391352233,2.670694415
70,Manhattan,Hotel,50150,2012,1,100,83.6,12.8,0.4,,4.658710953,
94,Manhattan,Multifamily Housing,55548,1910,1,100,75.7,0.1,0.8,78.11,5.489763831,4.35811809
25,Manhattan,Multifamily Housing,67589,2011,1,100,55.9,13.2,0.1,24.12,3.711130063,3.183041372
60,Brooklyn,Multifamily Housing,522607,2012,1,100,85.8,4.3,0.7,18.66,7.580750771,2.926382195
58,Manhattan,Office,76660,2000,1,100,84,14.4,0.3,38.79,5.181221595,3.658162481
100,Brooklyn,Office,104200,1931,1,100,31.2,4.5,0.2,,4.470495283,
75,Manhattan,Medical Office,57355,1930,1,100,66.5,15.8,0.1,7.41,3.666122467,2.002830439
65,Queens,Office,151960,1961,1,100,75.1,10,0.4,,5.842964539,
35,Brooklyn,Multifamily Housing,124636,1963,1,100,122.9,,1.3,,6.834969509,
25,Queens,Multifamily Housing,76129,2011,1,90,83,9.5,0.5,47.82,5.100475998,3.867443962
78,Manhattan,Multifamily Housing,80000,1941,1,100,74.3,6.3,0,42.05,5.732693818,3.738859386
50,Brooklyn,Multifamily Housing,249114,2011,2,95,66.2,10.6,0.3,40.49,5.82334171,3.70105503
80,Queens,Hotel,354254,1989,1,85,62.3,9.7,0.3,38.15,6.420483408,3.641525758
74,Queens,Multifamily Housing,143081,2013,1,100,49.3,8.1,0.2,,5.102302483,
69,Brooklyn,Multifamily Housing,72781,1929,1,100,81.3,4.9,0.7,77.39,5.581991418,4.348857573
72,Bronx,Multifamily Housing,55000,1926,1,90,77.1,3.1,0.7,99.16,5.466370952,4.596734707
98,Manhattan,Office,192471,1920,1,80,37.4,6.9,0.2,16.97,5.081404365,2.831447079
77,Queens,Multifamily Housing,64356,1961,1,100,65.6,3.9,0.5,60.62,5.215479088,4.104624872
70,Brooklyn,Multifamily Housing,103450,1958,1,100,70.1,3.3,0.6,55.6,5.79818315,4.018183201
62,Queens,Office,57820,1914,1,100,78.9,15.1,0.3,34.16,4.394449155,3.531055369
71,Queens,Hotel,123425,2009,1,85,76.5,11.8,0.4,49.36,5.550242719,3.89914038
47,Bronx,Multifamily Housing,167750,1958,1,100,100.2,5.4,0,48.93,6.915525016,3.890390705
61,Queens,Multifamily Housing,69654,1955,1,100,92.9,4.3,0.8,101.99,5.662613198,4.624874769
64,Queens,Multifamily Housing,89293,1941,1,100,41.5,13,,,,
24,Manhattan,Multifamily Housing,56777,1910,1,100,100,6.8,0.8,121.63,5.440250862,4.80098365
1,Bronx,Non-Refrigerated Warehouse,63138,1960,1,100,134,32.4,0.3,,4.314817885,
63,Staten Island,Multifamily Housing,86283,1987,1,100,72.7,7.9,0.5,,5.351858133,
79,Bronx,Multifamily Housing,214344,1972,1,100,35.9,8.8,0,,3.937690752,
6,Bronx,Distribution Center,153965,1961,1,100,67.5,11.8,0.3,,5.379897354,
78,Bronx,Multifamily Housing,96443,1931,1,100,77,3.9,0.1,,6.099197247,
